model,type
4320e4a3-c07f-4e84-aa1e-3172c60ae920,Cube
683058fe-f410-4eb6-b5bf-a44a843e918f,Torus.014
a423dbb4-aa32-4c20-97a4-274c43876325,Torus.015
41be3de9-ccc1-4e00-aaab-5427a0aecde0,Cylinder
3d8b6c93-52b1-4af5-b1e7-6286a8e80ee8,Cube
26a1b240-34db-49d8-b14e-3e2706c40b8f,Cylinder
fa93cf28-e998-438b-b369-4b972f59f182,Cone
d78c1427-aac0-4b0a-8483-a4842d89110a,Torus.016
8a667183-6c45-4f4d-a4f4-0e008df16654,Cone
53cecf4d-b552-4106-bc73-8fcca6b3ca25,Cylinder
c83d2493-4a44-4f23-b912-ea20425889bd,Cube
df8e3a49-fdc1-4318-9e0b-69c668b72876,Cylinder
725f5784-bd81-4957-9281-5e698860dca1,Cone
c697d1ff-3b6d-40de-b823-aad47fa1e782,Cylinder
03cc66c2-1c12-4e2e-9043-d8a21d7a2c08,Sphere
577655b4-ea4b-4acb-8e81-7f40008bd73e,Sphere
3b639cbb-8222-4d44-8549-9502c50cbb4c,Cylinder
b6315baf-3ea4-47f5-beba-89af76f79105,Cone
59b5f209-578b-4017-8627-b8b4151f34d3,Sphere
2882c10e-a153-41ca-b1ff-fa207fe3d936,Sphere
cb863259-1234-40e7-aaa1-a7ec12e3def2,Cube
b13a25c3-cf32-415a-b739-9641d0c3f8c5,Cylinder
5816b725-0dab-43e8-8cd6-a2b6284736f1,Sphere
782a5451-2e1c-4ea5-aa80-c359467862c2,Cube
258d8bad-d2fe-48d2-8ae1-b5767afc2aae,Cone
f64ae12e-9fdf-40a3-8657-38067589f544,Cube
6a686676-b48d-4ab1-b9ff-7ad6c2a14b1b,Cylinder
d7713f4d-014e-4ffc-8765-532b57da4481,Torus.017
6540e6b9-1fc9-4bda-9b4b-4b2d22dd6b8b,Cylinder
16c75e5b-7211-4a67-84e8-fb5397072b9e,Sphere
3f33149e-3fe3-4628-8e86-2c4e544bf099,Cylinder
355a940a-c73c-43c0-83ac-c4aaa4cd10ca,Cone
28aa3b6e-8e49-46a5-9155-ecf2a8ac40c4,Torus.018
d9107e3d-1ceb-4dba-9987-b300ed81891f,Cylinder
0f116faf-2e09-4fc0-8bd2-6f6dc0c3f39f,Cone
25e46d20-73a8-469f-ac2e-d44cf747ff57,Cylinder
d0b01f00-a2a8-4e8d-a23d-3da385273b05,Cone
5825630f-dd80-4a71-bec0-7c097af77062,Cylinder
8d0e415d-f135-43b6-8ff0-fde9045e6b11,Torus.019
91b0164f-35fb-437c-83f8-0dcb41f89721,Torus.020
c9910252-332a-4c1c-ac85-4925113ed6d1,Cylinder
3402407e-6f48-48f0-a037-245f7fd96e30,Cylinder
f44fd4c7-2f26-41d9-af97-f801e7b6b79c,Torus.021
e20ade7a-8ae4-400f-9ded-c6f10807725a,Cylinder
181e85a3-800b-4d8c-80da-2e1da367c0fc,Cone
74b4ebe4-d5e7-41b1-b811-97f4d28c1027,Sphere
c1141bce-73c8-471e-9a4d-62656de4208a,Cone
faba8622-a4ac-49db-a28d-77c90b6f7c34,Cone
18ad2d66-36e9-46d4-8607-b6c78075a59d,Cone
a3c0acb3-40b6-4ea0-9cf8-3ff13a58b0b1,Cylinder
524373c7-e217-478b-98af-8eb3d1da7080,Sphere
a9d97212-ac9a-467c-bbc1-c89f0f8e3493,Cube
471a8e46-89ca-4127-a5b8-e27ecc4e2099,Torus.022
0358caba-fb88-4c39-a4e2-a13a35d7c596,Torus.023
5ded4c37-4e7d-41fb-9d30-f2da9580489d,Cylinder
92c00108-9654-4984-8db2-3ca4244842eb,Cone
5cced5d3-ae8c-4920-aeae-bd4b092f2b53,Cone
ba03fda2-3451-47db-85c2-c9f61aa0b015,Cube
7fbc8856-777d-40a7-b51b-56afb83cff18,Cone
2406c758-8ea3-43b6-bc90-d2891e297f30,Cylinder
97c8f510-a966-4f9e-a9f7-547ed627b2d8,Sphere
af5efa79-ea17-4da5-9111-9606ce402f65,Cube
9046d0fa-35da-46bb-8609-079975541c89,Torus.024
12322ff7-cef3-4a15-b975-57bc1c2553bd,Sphere
ebcde1a1-8d2f-4de7-887d-9d9f61be2e5c,Sphere
b3b09df4-a8df-4841-94a3-b49b1be63f6a,Sphere
11721cd0-0866-47bf-8037-c729c4940cc6,Cylinder
caf2f00e-50d6-4c00-a545-016d2cfa8fd1,Sphere
83c8bf99-c10e-4094-97be-f3a3ab5d24d8,Cone
1eaf29b6-b627-4a54-820c-96be01f43f71,Cone
0363677f-22cd-43c4-a6d2-d8946dfd3888,Cylinder
0a7675a7-39d8-4228-84c7-ebf9a7e72b6d,Cube
4ffaedb0-6d3a-40f1-9ae6-cbb4cdff9eaf,Cylinder
4a5166d6-caf3-4b2b-b3bb-8012a8ccc919,Cone
341105bc-7977-4d0a-80f7-b9f5bb45d6c5,Sphere
867f8d28-8e88-41a7-b0b7-4bc3eb7105df,Torus.025
92493dd6-7f86-4763-aa77-d6db6e47d8c4,Sphere
4a7fd08f-79ea-40c5-b0b8-92611a3199e7,Torus.026
840e6d5c-3d76-4928-8bc6-224bce7329f1,Cylinder
998a93ca-b406-4216-a365-cd8243646073,Sphere
ca021f0f-12b6-4cae-b5e1-dd33030acbaa,Sphere
4e63a596-772f-48c3-bd60-7412089d2077,Sphere
56d00a23-cc9d-42cc-9314-ce6c0a5f20e3,Sphere
c45203cf-5b66-4d1b-bfd1-00b7bba0cb81,Cone
8e4daa32-68af-406b-b504-b2acbaaa13bc,Cube
6bb9cefb-7943-4cae-8728-db46dcec0e22,Cylinder
9fcd354a-148b-4b2e-adb5-ed2248904b86,Cube
639a8306-b473-4a5e-b963-197da0b42044,Sphere
cf0474d9-d887-4fe3-8d91-7140ab9d8044,Sphere
3d1015b1-228e-43b6-bdcb-c51a74f8a8b4,Cylinder
56c267aa-a685-4a37-8ef7-d68ff765dbba,Cylinder
d23763d8-51af-41fb-844e-ac20e147b98e,Cylinder
70740f56-903a-4b96-9d0c-1de274639225,Cylinder
0be42ce8-fe23-4051-9365-939d86c26f2c,Torus.027
a3f43a72-7907-4002-a8b4-ff8d49d55429,Cube
b4349fcb-25df-46b7-a958-251459b5a4d9,Sphere
1fac13f5-394d-46e1-87ca-6e449a885150,Torus.028
5b952adb-96d2-4761-a7a1-4959e9df3dc2,Sphere
dbc38355-8a9f-4daa-bd17-fa53865a9a7e,Sphere
66651b01-1fd0-4609-8873-61d87e0004c0,Cylinder
a1f9096a-cde5-47f0-9754-cbdb8ca7323f,Sphere
24667eec-32a8-4f2a-ba4f-b708340a67c2,Cylinder
560788fe-558b-4b9b-b59f-04887e69fb2f,Cylinder
c35c52a3-2777-4326-9c93-9a32d7b78a6f,Cylinder
e97da222-0dd1-40a6-87bb-2a6bfc0b86f2,Sphere
b6f49bd9-1e9e-4d30-a565-3cf0db72078a,Cone
cab76e82-2413-4974-8ed5-db19d5a1e104,Cone
6d908850-8d38-493b-ac87-67bc0c22ef52,Cone
af64d4dd-c3a9-489b-8e56-d994bb086fe7,Cone
dc040c21-4350-47fc-8e52-0b36987622c8,Torus.029
74d3d452-41b7-43da-81e8-0c1e7c03cbe5,Cylinder
a05b8c73-0c49-463e-a571-bed4b96d0e44,Cylinder
7a295925-d1f5-4406-917b-e054abf7835e,Torus.030
62b79bd6-ef6d-410c-aa41-e889dec23ff1,Torus.031
cb3f72b5-3b66-4c85-8bfa-674a78722585,Cube
a3018e44-5e23-4b35-9074-12177bd67216,Sphere
035590d2-9801-485e-b904-6fc877ee3b6b,Cylinder
d1d495ec-4963-418f-af33-2caf51cc634c,Cone
aa036d17-57ea-40db-a1e4-b0bea8420f7e,Cylinder
9c322fdb-412f-4fda-a084-84757ee49d22,Cube
f5988fa1-c419-423a-8705-2ed91e9ce3a8,Cube
f713e48b-d0c3-4d4d-b4ae-c055fc5994f9,Cylinder
b89573f4-b25f-49c4-82b6-19627f15deca,Torus.032
83df11ec-18d6-4e17-94d7-fa4c8fb5d8ca,Cylinder
79f256a8-d060-4617-96c0-10f1309dcb55,Cone
e55b596d-7e9b-40da-8e18-42e9c61d6094,Cylinder
67bd204f-deee-4c3b-96c8-92c9528f24e9,Cube
2fba8665-8839-4961-92ee-4f5f9b13115e,Cylinder
eb8c99e0-a382-4ce4-9d88-bd75bb695acf,Torus.033
7e58ae87-69f4-4242-8feb-922bc474a5e7,Cylinder
839f5cf1-8317-4c28-ac92-76ca343c0136,Torus.034
f0f85036-4cac-4a02-8325-13599e47debb,Torus.035
b1b1b5da-0f7d-4d9a-8f12-3d9e388a6300,Sphere
5952eaed-eb76-4cd7-8ffc-b5474849141a,Cube
7949ac77-f776-4ff7-8419-8fae41989929,Cube
b5dbb43c-431f-4cad-902d-d2693bb743ff,Torus.036
25b2a34e-1a95-4508-be65-81f72a4b319e,Sphere
b209db91-42c6-4ee4-ba90-4714f1414fc9,Sphere
b23bb1be-b172-4a1a-b2a7-ff46473d317b,Torus.037
3c955e5d-d966-4066-8290-78edd1321ae0,Sphere
09d11ea8-07ca-4c3f-9b4d-f9f2c65c08ad,Torus.038
54729361-0106-4f72-84c9-ca87c6db9007,Sphere
41576adc-9e04-4555-915c-c4c4243e6987,Cube
9c1f120c-3e64-4e20-a066-1e0151855fb8,Cylinder
6711fb12-3538-4b29-a260-9f0e93e8dd39,Torus.039
70a1397e-7198-4d94-a4ea-94ec90c41ed2,Cube
532e43cc-b870-492a-a15f-ca4846a85b38,Cylinder
70412557-ca8b-48cb-966c-7d73101aeb78,Cylinder
499ce055-2d33-4a09-9c33-683cf7f53dd6,Cube
785f1ded-6617-4974-be88-57cd9f0f8e62,Sphere
dcf82803-2283-4572-bcf8-90b7d13f6ae3,Cone
9ec8e97a-f36c-44d2-b81d-36255c3201bc,Cube
4dcb7ed8-1f39-4044-99a4-ac6fdae07066,Torus.040
61c12c37-c98c-41ff-bbaf-9d8b99341513,Torus.041
d4fd3ca5-6dbf-452d-863f-b1d320fc8e9b,Cylinder
39732bad-6088-4e12-bfd7-59b63a3fda5c,Cylinder
40876fb4-e1ed-4734-9b33-9ca877b0ed09,Sphere
80167e1d-f716-493b-bba2-b8e73b975405,Cylinder
59578fbb-3513-48ec-9e3d-80afa7f2a57f,Cube
3399b690-5126-4ca8-82c0-a620ae142d46,Torus.042
82d4bdfd-85ce-4425-b49d-227c2bdb0f4e,Sphere
112b1619-a45e-4e88-8e74-445e1c7e278a,Cube
d5368685-1ea1-4ba3-ae43-2d65024fe46c,Sphere
d5e63871-bf21-46a2-a8f7-c865751f8bc3,Sphere
bd3f5e9b-6706-4b4a-8d2c-cf07ea564150,Cube
1f0be9c2-ec83-42c9-a274-19f3241f55ad,Cylinder
2c863484-c055-4f1b-9106-b0f36b6731e9,Cone
d4f52f9d-bd99-4b02-bd87-8c98b9e860bc,Cylinder
9c9b8780-baa7-4b0a-a7bf-c75a7f0dc289,Torus.043
75c9a7e0-7ff8-4e93-b293-1d3b2be79c72,Cube
7ac8d6f3-6f08-46bf-b638-0b3d085f68d5,Torus.044
8d7b0f52-6090-4cb1-9a0a-721cad9f576a,Cone
be297447-4e44-4b27-a763-0d22e6d59108,Cylinder
6f284edb-aad7-4177-8b34-47558216c76f,Cube
bdc7ddf5-c379-45ac-abc8-1f1423d6b4ed,Cube
04f2dcc9-4bcd-414d-bd76-e967f78e5892,Cube
9b76f552-6db2-4c9e-b5eb-97cb5273cda2,Sphere
1a56bde5-5a2a-4e4e-9bec-dc4667cf3ce1,Cone
9f5ca156-0d3d-439a-ab88-fe2510378cd6,Cube
1ce77363-9420-41c1-a42e-a866de303328,Cube
8b2a93ea-ac4a-43bf-b550-5ea64ff31819,Torus.045
1c0409f7-3570-4dfe-a374-b3657f14015f,Cylinder
e77e2de8-b3be-490f-b036-5c6f3aaa1c08,Cone
09525cf6-d223-48e0-817f-5b5b2a646a0f,Cylinder
eeaf3876-3933-4766-8b22-45686dfe5a7c,Torus.046
c0652c2e-6544-4c0e-a0b5-0d49646d9111,Cylinder
e22eb77b-e7e2-47e5-9840-ddfeb33fd93d,Torus.047
67460d20-ea6b-4e4b-a16e-ec597aeeedd9,Torus.048
e18f2960-e967-4131-8e89-1943a394e670,Sphere
22c19204-2769-4ae0-b802-93804e8d8f58,Cube
42a1f58e-50a3-4bce-bc1c-d42244a842b9,Sphere
f51bdc5c-771a-4846-99f5-be350b45da29,Sphere
7749b968-f20b-4187-bff0-057910aac56f,Cone
54b9651c-5129-40d6-9d2e-94e188f74a77,Torus.049
9d4d27cd-4146-4bdf-a540-c0d2d8e09c10,Sphere
6462ea9c-2d13-4d08-8edb-5a372691fd77,Torus.050
789bac30-1150-4884-9e20-d228d65d9f08,Cone
f474c6b5-8f18-4bd9-84b5-76e8876e2453,Cone
4bd32939-774f-4c94-8ce3-6d659ea48a23,Torus.051
917ead06-6fa3-4082-825a-fc7fc6088759,Cylinder
7dd083a5-03d9-4a37-b65f-4edeef0d286c,Cone
14f28102-1722-47d9-8ef5-0115daac1d04,Cube
a2a27710-e0c3-4324-b4a2-2862a4b1625d,Cylinder
b210cb21-a90b-49a2-9263-60c4e0cc3a74,Cube
855154cc-3b45-4d74-b437-c0f2354234be,Sphere
a341abd7-f429-4f58-955d-0db646bd9b5a,Cone
859fbc93-43d0-43a9-9f75-32e3b78a8a76,Cube
b8fe088b-6973-4cd3-8da8-cfd6324cac92,Sphere
7eb8928b-79e3-4e7c-9225-6133e5de4dda,Cylinder
0183734b-0f65-4224-b619-2b3adcb671de,Cone
78e169ca-dae8-4878-9d4b-0b38077fceaf,Sphere
7214de06-eeca-4949-b4e2-909006e6ddbe,Cube
a419ed79-a73c-41f7-a06d-7f32da9e3df1,Cylinder
bbb79716-9a88-494d-885c-a771f46c8f12,Cube
773e0780-7c75-4c17-98e7-61b4c0884868,Cone
36133b9d-7528-449c-8fa9-12be54a8c559,Sphere
d2bad552-8738-4567-a368-a6be70b4b510,Cube
55a4944f-d367-4dc2-8190-882802300002,Cube
8669af7b-a47d-4ed8-a4de-2805d76a9f2b,Torus.052
72ef3705-ce47-4c5e-b900-c56d4af59b3a,Cylinder
abd047ef-d248-403d-b825-e5d3ac95eefe,Torus.053
41b83124-2b71-473e-8473-cb0f7deffa6c,Cylinder
d0791fc1-1402-4c0f-977b-ceba7fc0c82c,Cone
b898ce15-e546-433d-a85e-f6412e46f0dc,Cylinder
70269894-e76c-4a32-9809-68ad5a3c6440,Cone
93ad47b0-a79e-4693-aabb-468ad5918c05,Cone
d226899c-c12c-40eb-93f9-c2f1ab53a7c2,Cone
27e7218a-92fe-4ffc-8f28-4ca440d3d258,Sphere
f647bd58-bb43-41ba-afe6-0e8159ce88dc,Cube
18483698-bff6-4d03-aa37-d86f9b496327,Cube
21f936d7-23d5-4775-9fdd-ace7dc39d9dd,Cone
04d7ecd6-b315-447d-85aa-ea7c7801c0a4,Sphere
0ddaf179-1854-478d-86b6-e7a8e7d67303,Sphere
a518d140-32a8-4176-93a4-8ac68198144e,Sphere
3a1e81d3-1bf9-419d-9220-7fc4a83d332e,Cube
f4befec7-0d43-424a-9522-f8d533ff2f07,Sphere
e83ccc31-ce69-4e17-841b-b4c3845df939,Cone
b9fd4d8a-c413-49d4-b3d9-b9a95391d425,Torus.054
f84a0030-5d50-4120-a762-9671f8d9d42d,Cube
96170ab2-da92-489a-9bc1-ef8a91c2dedd,Cube
8a689320-0205-476e-9b13-431d036f39b1,Sphere
5c74691b-f585-4d44-8a79-87b3d3e805ac,Sphere
0b967194-83ac-4e0d-ba1b-f43eabf4d10e,Sphere
f845c799-37a2-4348-a223-74d705b97e26,Cone
22208166-e60e-4649-8ad2-c57203a28a3d,Torus.055
f5082713-ba08-4638-b7a4-92da38129826,Sphere
dfdbc4d2-c10e-4af1-8b44-0e6932a7debd,Cone
b7a720fe-9597-4fb2-b92a-5559b619f783,Torus.056
9a2e6edd-b8a6-48bf-9b5a-be2f4c8975df,Sphere
102083ed-bf29-4953-9082-39e6800086d3,Cube
7a3cb3dc-c989-4230-b36c-b87d4efe266e,Cube
f237ac49-6b0e-4f33-8311-279e98a0e8b5,Torus.057
70ca78f4-e30c-4760-bb18-7c2c70702333,Torus.058
7697817d-fff2-46cf-8b48-7fea0c0fff50,Cone
54585b56-1453-4f74-8bfe-a7f0dbf7ad74,Cylinder
aa61322b-ccf6-4433-b1b5-4cd462e50663,Cone
95d465dd-209a-4f2d-a1a0-bbb480e988b3,Sphere
758ec807-f160-48f7-a495-69c66eae6fec,Cone
4f290572-a22f-425f-a659-4765413c7b85,Cube
6fe6e65a-5ca8-4186-b895-03fd8a9e685e,Torus.059
5a839d0d-56ad-4ec8-819a-81ea55e0c37a,Sphere
5a7652d1-0de7-41ca-a6fb-f27bc3af1bc3,Cube
99ac33f1-d753-418a-9f6c-47721ec78c97,Cone
0dec3e08-f26c-4b22-b977-b5d4594bdca8,Cone
0cd42277-4259-4537-ba94-2dfbc1a4d002,Cylinder
02473945-58b3-436e-8542-7d39f57ecff0,Torus.060
92639811-6730-43e7-a011-07b8cd08547e,Torus.061
4103e389-0883-48d0-9737-176fb2d2a473,Torus.062
3cdb2664-341b-495f-8bb4-6ea85f5e3cee,Sphere
0f168e11-c796-4d37-b92f-27239cbf2b04,Cone
a0188e8a-73c1-4392-be99-5483c8041ccd,Cube
a7af4656-f2d9-4b1a-812c-e2104e4b6cb4,Sphere
892da1a9-52c3-4613-ae9e-3ad2a7a234da,Cylinder
4cb14837-13f5-4f29-b064-8d14f0d8d89d,Cone
8e80e067-5eb3-4807-9f88-16bda35d5164,Cube
d2bc45d2-6286-44fa-ab6c-f089c96e12c1,Cube
85014812-bca3-4dd4-9943-ae9eb82fda63,Cone
d15e99c7-b771-4e4f-a109-c508b13324b9,Sphere
82d96e64-c670-457c-a0e5-c12c9a78ee5d,Sphere
9f8a338e-0fd9-4893-be1b-90db723fa018,Cone
d21d2b1f-b170-4e33-8768-38f33416379e,Cube
52990979-4083-4d88-b6e5-a70c246e118a,Cylinder
d73f66ca-b6b2-43d9-b4a4-b717d32e62cb,Sphere
11f99e6d-4219-4068-a76c-925a6d3ee8c4,Sphere
f3ffa800-f0de-430b-8555-c28a9265a2f6,Sphere
ce4e7e7f-782d-4fa3-8368-04d25cab28d9,Cylinder
de8f5e4a-8893-4016-9bb8-46d96824b976,Cube
44a307bc-7a3a-4295-8de8-6b84b522268c,Torus.063
2c6e8b19-bd93-497d-83f7-ca725041f750,Cone
c6fb3a17-cb35-4fce-a2e4-4306bc33341f,Cylinder
b9a88604-2f60-4f09-b15a-e7726049fa39,Cylinder
3aa0d8df-4d3d-4ea5-9498-5996962e442f,Torus.064
7ad7babe-06e1-41e8-a14b-740927909d2a,Sphere
c515cb2b-66f8-47ba-b3f2-86002a70c281,Sphere
4e812992-4a1e-4104-a4d2-21e0ea76dedf,Torus.065
ee02181b-cb34-41e0-b7ee-a18f0002dead,Sphere
240ce531-743c-4bc3-b9a9-751d47a5d769,Torus.066
af0c5b26-fc78-4fc1-8cfa-7f58f35ecd1b,Sphere
8447b011-22fa-4e73-a816-2f81b413c46b,Torus.067
337429a3-b91c-4e34-81e1-5c53c2e6c37f,Cube
3dce7d9f-00ce-43ca-9b86-bacf2f152c6e,Torus.068
47284ba7-78e9-4a58-929e-e74d12ea0fae,Cylinder
6a2d2872-a422-46f1-ba77-075a027f358f,Torus.069
499fd5d2-275e-4386-9063-5416b48ad0a2,Cylinder
05bbe038-9f7d-4a43-80e4-eed6e0244aa7,Cylinder
76498577-1ae5-4a99-90ef-35b2eafa0c3e,Cylinder
6c3117be-d7b9-4c14-91a6-aab8a9ef1ab6,Cube
705da15c-8182-492f-ae88-e44f3c654a5b,Cylinder
e6f66766-de46-46af-8e07-c2a039439bc8,Sphere
94ab6fd5-4d77-4365-85cf-cb9d132efe6a,Sphere
5f1f27e1-8ac3-47b0-91c5-822563429504,Sphere
bf483fe9-c47f-4881-ae54-d743cf34e652,Cube
539a0bf5-7a7d-423b-9474-3719fc5aa0ed,Cone
4aa13373-d6fc-4072-a2cb-13f8fba2c94c,Torus.070
348c0981-5759-4b96-a047-6030eac1164b,Cube
9103a3f1-7d18-4847-9a93-677575d6f89b,Torus.071
653d50d1-061c-469e-9474-fb154b382e13,Sphere
90eefa71-8cea-425a-be1a-6ac8437dbb09,Cube
aa2cc154-7e1f-49c2-a61a-94507c45ca70,Sphere
cf67cf07-d07b-47bd-9c79-86de4e03ce59,Sphere
5b54c9d2-c0aa-4e49-94e4-bae1b1a3a8c6,Sphere
93debf83-a986-4ccc-b9b2-29077637a625,Cone
51b94287-c604-42db-a646-5fbe4e84a12c,Cylinder
1419b1bf-6422-4bd7-a4f3-7fead9df76f0,Sphere
c70c1813-8c08-4384-aa6c-d4b317a5320f,Cone
194f690f-eea8-46d6-856c-c537aae8724b,Cone
260f0351-d7f9-48b6-809e-fbce21fc6107,Cylinder
9d025aea-8d72-401e-b429-e446e031b20c,Sphere
6aba2f8f-74d2-45c7-b5c7-d5bfdcdb7575,Cone
2fea753a-7ddd-4be3-abf3-396182be27ab,Sphere
908bbe32-2b78-4a3b-8e82-b8943536a8af,Sphere
e14c07bc-9ec0-4e85-8094-880c0432ae32,Cylinder
cc75cd3a-526e-4928-ae25-0f61a5ae7c81,Cube
2c47df75-d300-40ec-8726-8df492fc76fe,Torus.072
a070b5ed-8b77-4316-b46d-fb254d4e20f9,Sphere
b6ea1c87-7805-4cdc-a504-e667272b1f0c,Cylinder
b3cd0f9e-a2b7-48a6-9869-f4a2aaee1ca8,Sphere
92aeff69-1c60-41c7-ad95-26e53b701168,Torus.073
53b7c5ba-b260-4d6e-9061-18f6d8fd0b58,Cube
f677f79a-a3c1-49e0-913b-c918892e7d55,Cube
e8ecf261-9d48-463d-b3b7-5954925eed89,Sphere
6b61dbc1-7ee2-4c42-8191-922d4e87a5c7,Cube
88927732-d650-433c-8fdf-8a303b58fa50,Cylinder
83f6833e-209a-4f76-9499-7a3838f3bc3e,Cube
b1fb7f1f-00de-40b5-8c2b-008c30fee737,Sphere
6d222214-79a4-45d7-92eb-3e52f91e4bf2,Torus.074
0c0fa74e-17b4-4268-a2f7-1bc5e7b6ae78,Cone
97caa1bd-606d-41a4-baa4-13a126c9a767,Cylinder
6ba95fee-de60-42bd-976e-5d6383cdfa52,Cone
09983131-6448-4a67-b927-b515b1b56e1a,Cylinder
5c516b58-d8a5-4e65-815a-986c7f8d05b0,Torus.075
58651da4-0dd0-4af2-9cf8-658979b012f7,Cone
a493aa23-45e6-4dcd-8f73-7bc11c1a9fa2,Cube
52000a78-42ec-428a-ab5f-91ac8ccd6c94,Sphere
878f3233-fb79-450a-9b98-9a4990eb5d40,Cone
7e42036e-08c1-443b-bdf5-42b846badc03,Cone
6dd73634-2c35-4d1f-959c-68fe47ba3ebf,Cylinder
61ff47f9-b758-479f-9bd3-72ed8aa9d3d8,Cylinder
e2a4f4ab-7304-4e9d-b71a-10edcf585200,Sphere
f2eacc80-5489-47e9-9a5a-c49e6aeccf7d,Sphere
69a9b56c-6cd7-45eb-bf81-efa33fb52d1b,Cylinder
f755ef55-0f82-42e0-aa17-c3121a713368,Cone
544fef46-b55a-433e-98fd-8e41cefaa441,Cone
4e1b0a29-eb58-4d2f-b8cf-387b66337660,Sphere
90432217-e45b-4fec-9f02-4ba63844213d,Cube
d8ab6721-89fc-4574-b075-4731189f7834,Cone
22674921-3d3e-4eb2-8335-6feda24ad515,Torus.076
63172bcb-3e05-42b0-a726-889fc1cfd7d9,Cube
bb44400e-9e7f-4058-84a1-bfc26e4f0bec,Cylinder
becc057e-f533-41a7-bff5-e685c481c8a0,Cylinder
